genotype,concentration,length
Ber-0,0.01,NA
Br-0,0.01,9.03
Rsch-0,0.01,7.11
Se-0,0.01,NA
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,12.02
Rsch-0,0,10.68
Se-0,0,NA
Col-0,0,NA
phyB-9,0,NA
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,NA
Se-0,37,NA
Col-0,37,NA
phyB-9,37,NA
Ber-0,17,NA
Br-0,17,NA
Rsch-0,17,3.9
Se-0,17,NA
Col-0,17,NA
phyB-9,17,NA
Ber-0,3.3,NA
Br-0,3.3,NA
Rsch-0,3.3,NA
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,3.73
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,NA
Ber-0,0.2,NA
Br-0,0.2,12.57
Rsch-0,0.2,5.54
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,11.04
Rsch-0,0.1,NA
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,NA
Ber-0,0.01,NA
Br-0,0.01,9.72
Rsch-0,0.01,8.9
Se-0,0.01,NA
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,12.59
